"PLAYER","TEAM","BYE","REC","REC YDS","REC TDS","RUSH ATT","RUSH YDS","RUSH TDS","FMBLS","PPR"
"Terry McLaurin","WAS","10","23.50","297.10","1.70","0.00","0.00","0.00","0.10","63.30"
"Phillip Dorsett","NE","10","21.20","272.10","2.10","2.40","16.40","0.00","0.10","62.60"
"Demarcus Robinson","KC","12","20.70","280.30","2.30","0.00","0.00","0.00","0.00","62.50"
"Josh Reynolds","LAR","9","20.00","271.20","2.20","3.00","18.70","0.00","0.00","62.20"
"Hakeem Butler","ARI","12","21.00","284.90","1.90","0.00","0.00","0.00","0.10","60.80"
"Cody Latimer","NYG","11","18.90","299.70","1.80","0.00","0.00","0.00","0.00","59.70"
"Jaron Brown","SEA","11","17.80","243.40","2.70","0.20","2.40","0.00","0.00","58.60"
"J.J. Arcega-Whiteside","PHI","10","19.10","255.80","1.90","0.00","0.00","0.00","0.10","56.00"
"Chester Rogers","IND","6","20.60","238.10","1.70","1.30","7.40","0.10","0.00","56.00"
"Ryan Switzer","PIT","7","21.40","215.90","1.10","4.00","22.40","0.20","0.10","52.90"
"Chad Beebe","MIN","12","20.90","224.40","1.60","0.00","0.00","0.00","0.10","52.80"
"Seth Roberts","BAL","8","18.10","244.30","1.20","0.10","1.10","0.00","0.00","49.80"
"Chris Moore","BAL","8","17.10","229.00","1.20","3.10","16.60","0.10","0.10","49.40"
"Jordan Taylor","MIN","12","19.10","214.20","1.40","0.00","0.00","0.00","0.10","48.80"
"Bennie Fowler","NYG","11","16.20","228.50","1.30","0.00","0.00","0.00","0.00","46.90"
"Eli Rogers","PIT","7","19.10","211.00","0.90","1.40","6.50","0.00","0.00","46.30"
"Jakeem Grant","MIA","5","16.00","221.40","1.20","0.30","0.80","0.00","0.10","45.30"
"Ryan Grant","OAK","6","18.50","210.80","0.90","0.00","0.00","0.00","0.00","45.00"
"Justin Watson","TB","7","16.30","205.60","1.00","0.00","0.00","0.00","0.10","42.80"
